Stadt/Gemeinde,50/60 Liter Restmüll,80/90 Liter Restmüll,120 Liter Restmüll,240 Liter Restmüll,1.100 Liter Restmüll,60 Liter Restmüll,80 Liter Restmüll,120 Liter Restmüll,240 Liter Restmüll, Jahresgesamtgebühr für 4 Pers. je 120 l Rest- und Bioabfall
Meinerzhagen,"139,20","185,60","278,40","556,80","2.552,00",n.a.,n.a.,n.a.,n.a.,n.a.
Menden,"172,48","216,08","302,92","521,26","2.468,28",n.a.,n.a.,n.a.,n.a.,n.a.
Altena,"128,40","167,00","244,20","475,80",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Hagen,"110,64","147,60","221,28","442,56","1.420,56",n.a.,n.a.,n.a.,n.a.,n.a.
Halver,"148,20","197,60","296,40","592,80","2.717,00",n.a.,n.a.,n.a.,n.a.,n.a.
Hemer,"154,00","190,00","262,00","479,00",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Hünn.a.e,n.a.,"196,00","288,00","562,00","2.541,00",n.a.,n.a.,n.a.,n.a.,n.a.
Iserlohn,"121,00","160,00","238,00","474,00",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Kierspe,"144,36","192,12","287,64","574,08","2.640,24",n.a.,n.a.,n.a.,n.a.,n.a.
Nachrodt-Wiblingwerde,"124,70","165,36","246,34","490,51","4.496,22",n.a.,n.a.,n.a.,n.a.,n.a.
Plettenberg,"108,00","144,00","216,00","432,00",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Schalksmühle,"134,40","179,20","268,80","537,60","2.464,00",n.a.,n.a.,n.a.,n.a.,n.a.
Werdohl,n.a.,"166,02","249,03","498,06",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Warendorf,n.a.,"133,56","200,40","400,68","1.836,60",n.a.,n.a.,n.a.,n.a.,"200,40"
Wassenberg,"88,00",n.a.,n.a.,n.a.,"1.937,00",n.a.,n.a.,n.a.,n.a.,n.a.
Velbert,"115,90","154,50","231,80","463,60","2.124,90",n.a.,n.a.,n.a.,n.a.,"231,80"
Stolberg,"202,56","261,12","377,64","727,92","3.380,76",n.a.,n.a.,n.a.,n.a.,"377,64"
Soest,n.a.,"144,80","217,20","434,40","1.991,00",n.a.,n.a.,n.a.,n.a.,"217,20"
Solingen,"89,32","119,09","178,64","357,28","1.637,54",n.a.,n.a.,n.a.,n.a.,"178,64"
Schwalmtal,"117,00","156,00","234,00","312,00","2.145,00",n.a.,n.a.,n.a.,n.a.,"234,00"
Rösrath,"138,00","184,00","276,00","552,00","2.530,00",n.a.,n.a.,n.a.,n.a.,"276,00"
Sassenberg,n.a.,"160,80","241,80","483,60","2.219,40",n.a.,n.a.,n.a.,n.a.,"241,80"
Schöppingen,n.a.,n.a.,"207,00","344,64",n.a.,n.a.,n.a.,n.a.,n.a.,"207,00"
Recklinghausen,"105,20",n.a.,"210,40","420,80","1.928,60",n.a.,n.a.,n.a.,n.a.,"210,40"
Pulheim,"93,09","119,07","169,95","324,74",n.a.,n.a.,n.a.,n.a.,n.a.,"169,95"
Oelde,n.a.,"159,64","239,46","478,92","1.900,80",n.a.,n.a.,n.a.,n.a.,"239,46"
Oer-Erkenschwick,n.a.,"158,96","238,44","476,88","2.185,70",n.a.,n.a.,n.a.,n.a.,"238,44"
Meerbusch,"96,00","124,00","179,00","338,00","1.529,00",n.a.,n.a.,n.a.,n.a.,"179,00"
Mettmann,"157,20","209,04","314,28","628,56","1.824,72",n.a.,n.a.,n.a.,n.a.,"314,28"
Lüdenscheid,n.a.,"207,64","290,19","542,12","1.924,61",n.a.,n.a.,n.a.,n.a.,"290,19"
Marl,n.a.,"132,24","198,36","396,72","1.818,30",n.a.,n.a.,n.a.,n.a.,"198,36"
Krefeld,"113,28",n.a.,"228,84",n.a.,"1.308,18",n.a.,n.a.,n.a.,n.a.,"228,84"
Kleve,"47,40","71,16","94,80","189,60","869,04",n.a.,n.a.,n.a.,n.a.,"293,04"
Kempen,n.a.,n.a.,"68,76","137,52","630,00",n.a.,n.a.,n.a.,n.a.,"198,36"
Kaarst,n.a.,"109,16","163,72","327,44","1.501,04",n.a.,n.a.,n.a.,n.a.,"163,72"
Isselburg,"199,80","232,80","266,40","398,40",n.a.,n.a.,n.a.,n.a.,n.a.,"266,40"
Hürth,"116,00","155,00","232,00","464,00","2.127,00",n.a.,n.a.,n.a.,n.a.,"232,00"
Haan,"104,64","131,64","185,52","347,04","1.505,40",n.a.,n.a.,n.a.,n.a.,"185,52"
Gladbeck,"91,83","119,75","175,57","343,03","1.535,10",n.a.,n.a.,n.a.,n.a.,"175,57"
Eschweiler,"172,22",n.a.,"284,88","510,20","1.949,92",n.a.,n.a.,n.a.,n.a.,"284,88"
Euskirchen,n.a.,"128,02","192,04","384,07","1.760,34",n.a.,n.a.,n.a.,n.a.,"192,04"
Erkrath,"108,96","126,36","189,60","322,44","1.468,44",n.a.,n.a.,n.a.,n.a.,"189,60"
Dülmen,"171,12","214,83","302,25","564,50","2.443,95",n.a.,n.a.,n.a.,n.a.,"302,25"
Düren,"166,10","221,50","332,30","664,80","3.047,00",n.a.,n.a.,n.a.,n.a.,"332,30"
Drensteinfurt,n.a.,"197,00","275,00","508,00","2.176,00",n.a.,n.a.,n.a.,n.a.,"275,00"
Dahlem,"50,40","67,20","100,80","201,60","1.151,28",n.a.,n.a.,n.a.,n.a.,"132,37"
Datteln,"106,19",n.a.,"212,38","424,75","1.946,78",n.a.,n.a.,n.a.,n.a.,"212,38"
Dormagen,"125,20","142,47","177,38","281,02",n.a.,n.a.,n.a.,n.a.,n.a.,"177,38"
Castrop-Raun.a.el,n.a.,"148,00","222,00","444,00","2.035,00",n.a.,n.a.,n.a.,n.a.,"222,00"
Brüggen,"141,47","177,50","249,25","465,34","2.277,07",n.a.,n.a.,n.a.,n.a.,"249,25"
Bonn,"95,32","127,08","190,64","381,28",n.a.,n.a.,n.a.,n.a.,n.a.,"190,64"
Blankenheim,n.a.,"80,00","120,00","240,00","1.100,00",n.a.,n.a.,n.a.,n.a.,"151,00"
Bergheim,"112,00","150,00","225,00","450,00","2.061,00",n.a.,n.a.,n.a.,n.a.,"225,00"
Bad Münstereifel,"52,80","70,40","105,60","211,20",n.a.,n.a.,n.a.,n.a.,n.a.,"149,50"
Wesseling,n.a.,"109,60","164,40","328,80","1.507,00",n.a.,n.a.,n.a.,n.a.,
Willich,"130,74","151,11","191,84","314,04",n.a.,n.a.,n.a.,n.a.,n.a.,
Witten,"123,23","164,40","246,48","492,96","2.259,72",n.a.,n.a.,n.a.,n.a.,
Xanten,n.a.,"224,40","336,00","672,00","3.085,20",n.a.,n.a.,n.a.,n.a.,
